Job ID,Dataset,Preserve order,Parallelism,Num cpus,Memory,Batch size map_batches(),Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time w/o metadata fetching,Total time,Throughput w/o metadata fetching (img/sec),Throughput (img/sec)
3000000,1kds,False,-1,3,5,8,20,191840,1000,120,14.5753722190857,19.5708169937134,68.6088825018514,51.096487199345
3000000,1kds,False,-1,3,5,16,20,186560,1000,80,14.2977936267853,14.872141122818,69.9408612337651,67.2398138063471
3000000,1kds,False,-1,3,5,32,20,180488,1000,34,22.4715220928192,23.0822472572327,44.5007683889624,43.3233380119285
3000000,1kds,False,-1,3,5,64,20,178112,1000,16,42.6376578807831,43.2713768482208,23.4534458434853,23.1099648968326
3000000,1kds,False,-1,3,5,128,20,177056,1000,8,65.7781491279602,66.4570684432983,15.2026168759274,15.0473083364068
3000000,1kds,False,50,3,5,8,20,182600,1000,50,15.9978272914886,16.6326546669006,62.5084882952844,60.1226935824035
3000000,1kds,False,50,3,5,16,20,182600,1000,50,18.0689890384674,18.6462345123291,55.3434394072121,53.6301310239764
3000000,1kds,False,50,3,5,32,20,182600,1000,50,18.4596235752106,19.0788469314575,54.1722855791545,52.4140690259003
3000000,1kds,False,50,3,5,64,20,178244,1000,17,38.9378190040588,39.5233108997345,25.6819725803277,25.301524017987
3000000,1kds,False,50,3,5,128,20,177188,1000,9,65.5584623813629,66.2038190364838,15.2535609237272,15.1048687908611
3000000,1kds,False,100,3,5,8,20,189200,1000,100,14.0034158229828,14.5664291381836,71.4111480113854,68.651005027626
3000000,1kds,False,100,3,5,16,20,189200,1000,100,14.2527298927307,14.8945920467377,70.1619975630092,67.1384618566326
3000000,1kds,False,100,3,5,32,20,180488,1000,34,23.9466121196747,24.5536828041077,41.7595606009918,40.7270879883122
3000000,1kds,False,100,3,5,64,20,178244,1000,17,40.4049763679504,41.0350422859192,24.7494266768884,24.3694156090377
3000000,1kds,False,100,3,5,128,20,177188,1000,9,73.2292010784149,73.9075555801392,13.6557546070888,13.5304163715127
3000000,1kds,False,200,3,5,8,20,202400,1000,200,13.5202095508575,14.1510372161865,73.9633506595002,70.666198153741
3000000,1kds,False,200,3,5,16,20,184844,1000,67,16.4359531402588,17.0360243320465,60.8422274915451,58.6991413318715
3000000,1kds,False,200,3,5,32,20,180488,1000,34,26.1070568561554,26.7085695266724,38.3038197491888,37.4411665514829
3000000,1kds,False,200,3,5,64,20,178244,1000,17,40.7196877002716,41.3239207267761,24.558145125296,24.1990591021544
3000000,1kds,False,200,3,5,128,20,177056,1000,8,66.0170357227325,66.6812245845795,15.1476052969106,14.9967251835872
3000000,1kds,False,300,3,5,8,20,195800,1000,150,14.2143647670746,14.8377954959869,70.3513675346469,67.395456438961
3000000,1kds,False,300,3,5,16,20,184580,1000,65,16.6012618541718,17.2682490348816,60.2363849678516,57.9097508948369
3000000,1kds,False,300,3,5,32,20,180356,1000,33,25.9349870681763,26.587920665741,38.5579525207112,37.6110645345997
3000000,1kds,False,300,3,5,64,20,178112,1000,16,43.3082621097565,43.9061095714569,23.0902823453338,22.7758735574717
3000000,1kds,False,300,3,5,128,20,177056,1000,8,66.774338722229,67.3597278594971,14.9758128516981,14.845665678547
3000000,1kds,False,400,3,5,8,20,195800,1000,150,14.7126851081848,15.395355463028,67.9685586041456,64.9546548244051
3000000,1kds,False,400,3,5,16,20,184580,1000,65,16.8993604183197,17.4962191581726,59.1738370711328,57.1552054166453
3000000,1kds,False,400,3,5,32,20,180356,1000,33,24.7188451290131,25.327095746994,40.4549644120015,39.4834058349815
3000000,1kds,False,400,3,5,64,20,178112,1000,16,44.182765007019,44.7833921909332,22.633259820682,22.3297064174263
3000000,1kds,False,400,3,5,128,20,177056,1000,8,68.7036244869232,69.3312795162201,14.5552728472184,14.4235041813421
3000000,10kds,False,-1,3,5,8,20,1775840,10000,120,75.7422137260437,80.3421692848206,132.026772232583,124.4676374688
3000000,10kds,False,-1,3,5,16,20,1775840,10000,120,80.5957064628601,83.0836272239685,124.076088403148,120.360657498053
3000000,10kds,False,-1,3,5,32,20,1775840,10000,120,86.5439920425415,88.980840921402,115.548171097589,112.383743471621
3000000,10kds,False,-1,3,5,64,20,1775840,10000,120,91.4225046634674,93.8935904502869,109.382258086351,106.503542489353
3000000,10kds,False,-1,3,5,128,20,1775840,10000,120,100.106341838837,102.972351074219,99.8937711269004,97.1134474029088
3000000,10kds,False,50,3,5,8,20,1766600,10000,50,107.044582843781,109.415408611298,93.4190197610828,91.3948056029784
3000000,10kds,False,50,3,5,16,20,1766600,10000,50,115.500606298447,117.955385684967,86.579632094403,84.7778161372623
3000000,10kds,False,50,3,5,32,20,1766600,10000,50,128.025228738785,130.743792295456,78.109604634282,76.4854669153386
3000000,10kds,False,50,3,5,64,20,1766600,10000,50,147.003066301346,149.549118041992,68.0257919212427,66.8676628182593
3000000,10kds,False,50,3,5,128,20,1766600,10000,50,171.538360834122,174.033431768417,58.2959983491392,57.4602241557058
3000000,10kds,False,100,3,5,8,20,1773200,10000,100,82.9761641025543,85.3837630748749,120.516537588319,117.118286192549
3000000,10kds,False,100,3,5,16,20,1773200,10000,100,88.1190466880798,90.5161473751068,113.48284367394,110.477525723219
3000000,10kds,False,100,3,5,32,20,1773200,10000,100,96.8482275009155,99.648241519928,103.254341953811,100.353000188169
3000000,10kds,False,100,3,5,64,20,1773200,10000,100,95.4277374744415,97.8630940914154,104.791334937374,102.183566673856
3000000,10kds,False,100,3,5,128,20,1773200,10000,100,100.926834583282,103.374878406525,99.0816767541464,96.7353012080432
3000000,10kds,False,200,3,5,8,20,1786400,10000,200,74.3532257080078,77.0592525005341,134.493156211823,129.770269961167
3000000,10kds,False,200,3,5,16,20,1786400,10000,200,82.5758414268494,84.9982466697693,121.100794460067,117.649485628233
3000000,10kds,False,200,3,5,32,20,1786400,10000,200,83.663281917572,86.0526714324951,119.526747825317,116.207897250983
3000000,10kds,False,200,3,5,64,20,1786400,10000,200,92.3488864898682,95.0770130157471,108.285008949156,105.177894033585
3000000,10kds,False,200,3,5,128,20,1773200,10000,100,100.983726501465,103.414318323135,99.0258564072197,96.6984085197305
3000000,10kds,False,300,3,5,8,20,1799600,10000,300,75.2346539497376,77.6675992012024,132.917471869822,128.753818874901
3000000,10kds,False,300,3,5,16,20,1799600,10000,300,81.4594223499298,84.0170316696167,122.760507152168,119.023486087004
3000000,10kds,False,300,3,5,32,20,1799600,10000,300,85.7359972000122,88.1486282348633,116.637122405787,113.444760290041
3000000,10kds,False,300,3,5,64,20,1799600,10000,300,83.2180616855621,85.6452922821045,120.166221099751,116.760650043219
3000000,10kds,False,300,3,5,128,20,1773200,10000,100,105.072438716888,107.986155509949,95.1724364839805,92.6044635330934
3000000,10kds,False,400,3,5,8,20,1812800,10000,400,76.0436687469482,78.483478307724,131.503386998294,127.415351811897
3000000,10kds,False,400,3,5,16,20,1812800,10000,400,78.5321028232575,80.9553306102753,127.33646038367,123.524910893647
3000000,10kds,False,400,3,5,32,20,1812800,10000,400,86.8963742256165,89.7036325931549,115.079600145757,111.478205630249
3000000,10kds,False,400,3,5,64,20,1786400,10000,200,94.2433021068573,96.7073447704315,106.10833636391,103.404762313953
3000000,10kds,False,400,3,5,128,20,1770560,10000,80,104.365310430527,107.109624147415,95.8172783537758,93.3622919471455
