Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
3000000,1kds,False,-1,6,8,602116000,1000,120,13.87095046043396,72.09311307487104,9.044545888900757,110.56387045668876
3000000,1kds,False,-1,6,16,602116000,1000,80,8.804360628128052,113.58008176144143,8.186523199081421,122.15197779103664
3000000,1kds,False,-1,6,32,602116000,1000,34,7.681074380874634,130.1901206021301,7.049156188964844,141.86095089869875
3000000,1kds,False,-1,6,64,602116000,1000,16,7.822962045669556,127.82881907928412,7.233476877212524,138.2461044633017
3000000,1kds,False,-1,6,128,602116000,1000,8,7.495728492736816,133.4093145141231,6.897188901901245,144.98660457514
3000000,1kds,False,-1,6,256,602116000,1000,4,7.379128694534302,135.51735460864057,7.121680974960327,140.4162870417782
3000000,1kds,False,50,6,8,602116000,1000,50,7.582483053207397,131.88291922090073,7.329271078109741,136.4392160342779
3000000,1kds,False,50,6,16,602116000,1000,50,7.723552942276001,129.474091454252,7.084155797958374,141.16008011684272
3000000,1kds,False,50,6,32,602116000,1000,50,7.518690824508667,133.00187803178463,6.902976989746094,144.86503453298954
3000000,1kds,False,50,6,64,602116000,1000,17,7.367107391357422,135.73848552460774,6.781809329986572,147.4532755703381
3000000,1kds,False,50,6,128,602116000,1000,9,7.659990310668945,130.5484680061782,7.037930250167847,142.08722798526614
3000000,1kds,False,50,6,256,602116000,1000,5,5.180430889129639,193.03413584733863,4.930334806442261,202.82598226257213
3000000,1kds,False,100,6,8,602116000,1000,100,5.1204986572265625,195.2934795888872,4.863163948059082,205.6274496768932
3000000,1kds,False,100,6,16,602116000,1000,100,7.6249189376831055,131.1489352441376,7.0130615234375,142.5910776139667
3000000,1kds,False,100,6,32,602116000,1000,34,9.723521947860718,102.84339412840129,9.10014820098877,109.88832026838264
3000000,1kds,False,100,6,64,602116000,1000,17,9.887708902359009,101.13566346612612,9.239078998565674,108.2358966900538
3000000,1kds,False,100,6,128,602116000,1000,9,7.838032245635986,127.58304235821105,7.187829971313477,139.12404772942395
3000000,1kds,False,100,6,256,602116000,1000,4,5.85875678062439,170.6846755112142,5.60123610496521,178.53202065764577
3000000,1kds,False,200,6,8,602116000,1000,200,6.640753269195557,150.585326613277,6.381611108779907,156.70024120150262
3000000,1kds,False,200,6,16,602116000,1000,67,7.6247944831848145,131.15107590182654,6.989226579666138,143.07734748638927
3000000,1kds,False,200,6,32,602116000,1000,34,7.744875192642212,129.11763910024274,7.090727090835571,141.02926077812987
3000000,1kds,False,200,6,64,602116000,1000,17,8.358316898345947,119.6413120203534,7.786505222320557,128.4273202737257
3000000,1kds,False,200,6,128,602116000,1000,8,8.091251850128174,123.59026990170364,7.436331987380981,134.47489995026328
3000000,1kds,False,200,6,256,602116000,1000,4,7.665911912918091,130.44762467396288,7.395344972610474,135.22019644838977
3000000,1kds,False,300,6,8,602116000,1000,150,4.835392475128174,206.8084452593463,4.5717384815216064,218.7351713230917
3000000,1kds,False,300,6,16,602116000,1000,65,8.751641035079956,114.26428437725151,8.16266393661499,122.50902496602038
3000000,1kds,False,300,6,32,602116000,1000,33,8.028599500656128,124.55472463388864,7.441465377807617,134.38213432830847
3000000,1kds,False,300,6,64,602116000,1000,16,9.422449827194214,106.12951178725211,8.719744443893433,114.68226006328833
3000000,1kds,False,300,6,128,602116000,1000,8,9.187199115753174,108.847102081995,8.9218270778656,112.08466508849143
3000000,1kds,False,300,6,256,602116000,1000,4,8.10189414024353,123.42792718468444,7.829907655715942,127.71542704848964
3000000,1kds,False,400,6,8,602116000,1000,150,5.288503170013428,189.0894205510065,5.019819498062134,199.21035017016908
3000000,1kds,False,400,6,16,602116000,1000,65,10.51318883895874,95.11861865301024,9.88038206100464,101.2106610681328
3000000,1kds,False,400,6,32,602116000,1000,33,10.094847679138184,99.060434766795,9.424797058105469,106.1030803989551
3000000,1kds,False,400,6,64,602116000,1000,16,9.213419675827026,108.53733306251858,8.590771198272705,116.40398480186086
3000000,1kds,False,400,6,128,602116000,1000,8,8.63683557510376,115.78314665183218,7.917068481445312,126.30937857158
3000000,1kds,False,400,6,256,602116000,1000,4,9.105830907821655,109.81974189099292,8.842891931533813,113.08517708262306
3000000,10kds,False,-1,6,8,6021160000,10000,120,45.90041208267212,217.86296780928257,41.60342288017273,240.36483797985235
3000000,10kds,False,-1,6,16,6021160000,10000,120,48.06844854354858,208.03667068514383,45.66938138008118,218.9650855301825
3000000,10kds,False,-1,6,32,6021160000,10000,120,48.53414058685303,206.04052897783893,45.78752326965332,218.4001074071573
3000000,10kds,False,-1,6,64,6021160000,10000,120,47.145790576934814,212.10801383596504,44.60828328132629,224.1736122624148
3000000,10kds,False,-1,6,128,6021160000,10000,120,46.332843542099,215.82961967170849,43.63294863700867,229.1846027457833
3000000,10kds,False,-1,6,256,6021160000,10000,40,51.56324505805969,193.9365916311144,49.15957713127136,203.4191623190104
3000000,10kds,False,50,6,8,6021160000,10000,50,44.60495853424072,224.1903216281114,42.354084968566895,236.1047348188848
3000000,10kds,False,50,6,16,6021160000,10000,50,47.25618577003479,211.6125082261932,44.90718507766724,222.6815148334268
3000000,10kds,False,50,6,32,6021160000,10000,50,49.1157488822937,203.6006826235121,46.27061247825623,216.11989693672768
3000000,10kds,False,50,6,64,6021160000,10000,50,50.0700101852417,199.7203508248443,47.65086269378662,209.85978919756133
3000000,10kds,False,50,6,128,6021160000,10000,50,49.06394767761231,203.8156421025812,46.25064730644226,216.21319013641343
3000000,10kds,False,50,6,256,6021160000,10000,50,50.58564305305481,197.68454835123643,48.21138334274292,207.4198935323697
3000000,10kds,False,100,6,8,6021160000,10000,100,45.76906085014343,218.48820609935373,42.957902669906616,232.7860388539248
3000000,10kds,False,100,6,16,6021160000,10000,100,48.85482835769653,204.688059218708,46.39052557945252,215.5612568534736
3000000,10kds,False,100,6,32,6021160000,10000,100,46.38611030578613,215.5817751063429,43.887603521347046,227.8547744156496
3000000,10kds,False,100,6,64,6021160000,10000,100,46.81224226951599,213.6193336440962,43.93136668205261,227.627792059684
3000000,10kds,False,100,6,128,6021160000,10000,100,49.01756143569946,204.0085166847367,46.43518829345703,215.35392377011323
3000000,10kds,False,100,6,256,6021160000,10000,50,50.12283182144165,199.5098767688177,47.26285481452942,211.58264855651137
3000000,10kds,False,200,6,8,6021160000,10000,200,46.99100661277771,212.80667772034528,44.59487342834473,224.2410221450241
3000000,10kds,False,200,6,16,6021160000,10000,200,45.8031530380249,218.325581029284,43.17161130905152,231.6336985528118
3000000,10kds,False,200,6,32,6021160000,10000,200,48.22515606880188,207.3606560387943,45.66689920425415,218.9769871449568
3000000,10kds,False,200,6,64,6021160000,10000,200,47.31112337112427,211.36678411875064,44.35469341278076,225.45528399748807
3000000,10kds,False,200,6,128,6021160000,10000,100,50.07151389122009,199.71435298970405,47.58879375457764,210.1335043617929
3000000,10kds,False,200,6,256,6021160000,10000,40,54.3320095539093,184.05356404271777,51.880099058151245,192.7521377472935
