Job ID,Dataset,Preserve order,Parallelism,Num cpus,Memory,Batch size map_batches(),Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time w/o metadata fetching,Total time,Throughput w/o metadata fetching (img/sec),Throughput (img/sec)
3000000,1kds,False,-1,6,10,8,10,191840,1000,120,14.1894760131836,19.2069902420044,70.474765880776,52.0643779894815
3000000,1kds,False,-1,6,10,16,10,186560,1000,80,14.6204373836517,15.2402713298798,68.3974065726774,65.6156296928534
3000000,1kds,False,-1,6,10,32,10,180488,1000,34,16.5879874229431,17.1821880340576,60.2845887510672,58.1998054041693
3000000,1kds,False,-1,6,10,64,10,178112,1000,16,30.2880642414093,30.8875954151154,33.0163060943597,32.375456443289
3000000,1kds,False,-1,6,10,128,10,177056,1000,8,47.1756448745728,47.7940425872803,21.1973784917775,20.9231097824342
3000000,1kds,False,-1,6,10,256,10,176528,1000,4,95.1535248756409,95.7489988803864,10.5093321693225,10.4439734273279
3000000,1kds,False,50,6,10,8,10,182600,1000,50,15.8776376247406,16.5355565547943,62.981661607001,60.4757388531964
3000000,1kds,False,50,6,10,16,10,182600,1000,50,14.6202306747437,15.1987628936768,68.3983736130438,65.7948286314827
3000000,1kds,False,50,6,10,32,10,182600,1000,50,14.6174778938293,15.1231436729431,68.4112544765429,66.1238180120648
3000000,1kds,False,50,6,10,64,10,178244,1000,17,27.9432225227356,28.6133468151093,35.7868531156836,34.948725378464
3000000,1kds,False,50,6,10,128,10,177188,1000,9,50.0007507801056,50.5747961997986,19.9996996924671,19.7726946056182
3000000,1kds,False,50,6,10,256,10,176660,1000,5,86.7123780250549,87.3528888225555,11.5323789149348,11.4478183089211
3000000,1kds,False,100,6,10,8,10,189200,1000,100,14.0846333503723,14.7452440261841,70.9993632864831,67.8184774849596
3000000,1kds,False,100,6,10,16,10,189200,1000,100,14.2277278900146,14.8805570602417,70.2852913501265,67.2017852525043
3000000,1kds,False,100,6,10,32,10,180488,1000,34,17.4588391780853,18.0666072368622,57.2775766933703,55.3507355802616
3000000,1kds,False,100,6,10,64,10,178244,1000,17,28.0491852760315,28.6341099739075,35.6516594032596,34.923383367293
3000000,1kds,False,100,6,10,128,10,177188,1000,9,46.4875257015228,47.0604522228241,21.5111470208285,21.2492645685841
3000000,1kds,False,100,6,10,256,10,176528,1000,4,100.825215578079,101.476604938507,9.91815384937708,9.85448814143892
3000000,1kds,False,200,6,10,8,10,202400,1000,200,15.2888867855072,15.9489638805389,65.4069857426069,62.6999977860762
3000000,1kds,False,200,6,10,16,10,184844,1000,67,15.8673593997955,16.4759204387665,63.0224585454897,60.6946363765561
3000000,1kds,False,200,6,10,32,10,180488,1000,34,17.4713940620422,18.1293039321899,57.2364172228572,55.1593157542262
3000000,1kds,False,200,6,10,64,10,178244,1000,17,28.5783333778381,29.1594831943512,34.991543655778,34.2941606109714
3000000,1kds,False,200,6,10,128,10,177056,1000,8,53.0281822681427,53.6835584640503,18.8578970130146,18.6276772369637
3000000,1kds,False,200,6,10,256,10,176528,1000,4,92.2476749420166,92.8510265350342,10.8403816207678,10.7699401645569
3000000,1kds,False,300,6,10,8,10,195800,1000,150,14.4587337970734,15.0545475482941,69.1623494861226,66.4251115347081
3000000,1kds,False,300,6,10,16,10,184580,1000,65,15.4801664352417,16.0890257358551,64.5987886618214,62.154167469038
3000000,1kds,False,300,6,10,32,10,180356,1000,33,19.0154781341553,19.6920120716095,52.5887381292726,50.7820123389893
3000000,1kds,False,300,6,10,64,10,178112,1000,16,30.0649597644806,30.6941826343536,33.2613117673759,32.5794634088342
3000000,1kds,False,300,6,10,128,10,177056,1000,8,52.1480231285095,52.799754858017,19.1761823364939,18.9394818723891
3000000,1kds,False,300,6,10,256,10,176528,1000,4,98.3296887874603,98.993795633316,10.1698684530722,10.101643174731
3000000,1kds,False,400,6,10,8,10,195800,1000,150,14.4728021621704,15.177205324173,69.095119852729,65.8882830297673
3000000,1kds,False,400,6,10,16,10,184580,1000,65,15.9894206523895,16.6942126750946,62.5413529195353,59.9009979962612
3000000,1kds,False,400,6,10,32,10,180356,1000,33,18.4081103801727,19.0593852996826,54.3238811234582,52.4675892887612
3000000,1kds,False,400,6,10,64,10,178112,1000,16,31.2758476734161,31.9004950523376,31.9735538567027,31.3474759046638
3000000,1kds,False,400,6,10,128,10,177056,1000,8,47.3522908687592,47.9317121505737,21.118302444365,20.8630143830159
3000000,1kds,False,400,6,10,256,10,176528,1000,4,108.186340093613,108.792571306229,9.24331111612343,9.1918040725888
3000000,10kds,False,-1,6,10,8,10,1775840,10000,120,82.8252377510071,87.6153318881989,120.736146029094,114.135275008265
3000000,10kds,False,-1,6,10,16,10,1775840,10000,120,88.3461141586304,90.7769865989685,113.191169699263,110.16007883339
3000000,10kds,False,-1,6,10,32,10,1775840,10000,120,96.1371157169342,98.5989305973053,104.018098789691,101.420978294802
3000000,10kds,False,-1,6,10,64,10,1775840,10000,120,98.9462122917175,101.738977909088,101.065010659706,98.2907456465289
3000000,10kds,False,-1,6,10,128,10,1775840,10000,120,106.977477073669,109.391474246979,93.4776204631706,91.4148023768515
3000000,10kds,False,-1,6,10,256,10,1765280,10000,40,123.024775266647,125.49684381485,81.2844402952635,79.683278846067
3000000,10kds,False,50,6,10,8,10,1766600,10000,50,84.2586948871613,87.0803475379944,118.682113619158,114.836473242563
3000000,10kds,False,50,6,10,16,10,1766600,10000,50,96.8921911716461,99.326607465744,103.207491533398,100.677957851816
