Nodes,Autoscaler,Dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
10,false,10kds,91.2047553062439,109.64340583363638,83.66080927848816,119.53028050101969
10,true,10kds,133.49500489234924,74.90916988290333,125.99200224876404,79.37011732106272
20,false,10kds,71.75378727912903,139.3654659802005,64.26745009422302, 155.59976294903439
20,true,10kds,126.96918892860413,78.75926501840605,117.25757718086243, 85.28233518398244
30,false,10kds,70.48653316497803, 141.8710716924379,62.864994764328,159.07103846088893
30,true,10kds, 123.9124960899353, 80.7021108891393,116.63811421394348,85.73526816163624
