Job ID,Dataset,Preserve order,Num cpus,Concurrency,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
2000000,1kds,False,2,1,8,176528,1000,4,102.09351634979248,9.794941302382057,97.30257964134216,10.277219819721177
2000000,10kds,False,2,1,8,1773068,10000,99,923.5870599746704,10.827349616910237,917.3970422744752,10.900405755840785
3000000,1kds,False,2,2,8,177056,1000,8,54.79467797279358,18.24994756783708,51.693450927734375,19.34481026228961
3000000,10kds,False,2,2,8,1773068,10000,99,497.1880359649658,20.113114710396303,490.7969913482666,20.375023026382124
4000000,1kds,False,2,3,8,177584,1000,12,42.57825207710266,23.48616843615736,39.48441982269287,25.326445329336465
4000000,10kds,False,2,3,8,1773068,10000,99,341.80498600006104,29.256448587903908,335.2854731082916,29.82533035891527
6000000,1kds,False,2,4,8,178112,1000,16,35.187527656555176,28.41916061169212,32.139164686203,31.11468545507311
6000000,10kds,False,2,4,8,1773068,10000,99,263.64319133758545,37.93005216355224,257.04807448387146,38.90322858896752
7000000,1kds,False,2,5,8,178640,1000,20,31.964060306549072,31.28513681958957,28.90164422988892,34.60010759408077
7000000,10kds,False,2,5,8,1773068,10000,99,215.02392721176147,46.50645223380989,208.74859070777893,47.9045150249599
8000000,1kds,False,2,6,8,179168,1000,24,30.14754557609558,33.17019614336081,27.146095037460327,36.83771086117717
8000000,10kds,False,2,6,8,1773068,10000,99,182.6078517436981,54.762157839935846,176.29806065559387,56.722121405155136
9000000,1kds,False,2,7,8,179696,1000,28,26.99312424659729,37.046471200015255,23.88573670387268,41.86598941442181
9000000,10kds,False,2,7,8,1773068,10000,99,167.22429585456848,59.79992290532228,160.9543969631195,62.12939931234909
0a000000,1kds,False,2,8,8,180224,1000,32,24.36365246772766,41.0447489892827,21.4229633808136,46.67888294555924
0a000000,10kds,False,2,8,8,1773068,10000,99,152.64562368392944,65.51121321831123,146.3849115371704,68.31305149547995
0b000000,1kds,False,2,9,8,180752,1000,36,24.049823760986328,41.58034628188012,20.99122452735901,47.638954968855934
0b000000,10kds,False,2,9,8,1773068,10000,99,138.78734469413757,72.05267902515325,132.1921031475067,75.6474839411662
0c000000,1kds,False,2,10,8,181280,1000,40,23.476487159729004,42.59581057405282,20.43884992599488,48.92643194802089
0c000000,10kds,False,2,10,8,1773068,10000,99,129.09021043777466,77.4652079819817,122.82252979278564,81.41828715685175
0d000000,1kds,False,2,11,8,181808,1000,44,21.87011194229126,45.72450304043726,18.903966903686523,52.8989499978963
0d000000,10kds,False,2,11,8,1773068,10000,99,122.74131107330322,81.47216216411302,116.7751567363739,85.63465277615109
0e000000,1kds,False,2,12,8,182336,1000,48,20.731747150421143,48.235201439821054,17.660062551498413,56.62494099802339
0e000000,10kds,False,2,12,8,1773068,10000,99,118.70021319389345,84.24584700336877,112.10736060142516,89.2002090349175
0f000000,1kds,False,2,13,8,182864,1000,52,20.80462408065796,48.066237396219,17.75576949119568,56.31972190762315
0f000000,10kds,False,2,13,8,1773068,10000,99,109.10789799690248,91.65239348927696,102.69928693771362,97.3716595137114
10000000,1kds,False,2,14,8,183392,1000,56,20.072758674621586,49.81876264294062,17.011712551116943,58.78302945662826
10000000,10kds,False,2,14,8,1773068,10000,99,112.12096095085144,89.18938898841164,105.72626423835754,94.58387726114316
11000000,1kds,False,2,15,8,183920,1000,60,19.734980821609497,50.67144523925838,16.703402280807495,59.86804264117004
11000000,10kds,False,2,15,8,1773068,10000,99,105.77388119697572,94.54129778387976,99.32118248939514,100.68345693596362
12000000,1kds,False,2,16,8,184448,1000,64,19.40413522720337,51.5354066692992,16.23787236213684,61.58442298954023
12000000,10kds,False,2,16,8,1773068,10000,99,103.69934725761414,96.43262242680846,96.62471747398376,103.4931874723722
13000000,1kds,False,2,17,8,184976,1000,68,19.031792640686035,52.54365780878712,15.810496807098389,63.24911937941338
13000000,10kds,False,2,17,8,1773068,10000,99,101.54770469665527,98.4758841164568,95.12533473968506,105.12446581518444
