Job ID,Dataset,Preserve order,Num cpus,Concurrency,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
14000000,1kds,False,2,18,8,185504,1000,72,18.40325927734375,54.33820090939543,15.313324213027954,65.30260746058264
14000000,10kds,False,2,18,8,1773068,10000,99,95.22958493232728,105.00938345059754,88.69730925559998,112.74299168628548
15000000,1kds,False,2,19,8,186032,1000,76,19.95357084274292,50.11634297846484,14.976358413696289,66.77190625228845
15000000,10kds,False,2,19,8,1773068,10000,99,94.23836517333984,106.11389513820868,87.82929587364197,113.85722611720324
16000000,1kds,False,2,20,8,186560,1000,80,17.909877061843872,55.83511246598402,14.789376735687256,67.6161016026434
16000000,10kds,False,2,20,8,1773068,10000,99,93.78587985038756,106.62585898807532,87.12479972839355,114.77788220087062
17000000,1kds,False,2,21,8,187088,1000,84,17.834802627563477,56.07014671721188,14.504674196243286,68.94329279447037
17000000,10kds,False,2,21,8,1773068,10000,99,98.0103793144226,102.03001018820116,91.4576699733734,109.34020080449628
18000000,1kds,False,2,22,8,187616,1000,88,17.237746715545654,58.01222262409518,14.0739164352417,71.05342742379487
18000000,10kds,False,2,22,8,1773068,10000,99,92.36982655525208,108.26046094195472,85.8839111328125,116.43624362350954
19000000,1kds,False,2,23,8,188144,1000,92,17.501959562301636,57.13645928847596,14.436545133590698,69.26865054944605
19000000,10kds,False,2,23,8,1773068,10000,99,88.73376131057739,112.69667657836526,82.33330917358398,121.4575255188264
1a000000,1kds,False,2,24,8,188672,1000,96,17.449673891067505,57.307661234397074,14.24410367012024,70.20448763636095
1a000000,10kds,False,2,24,8,1773068,10000,99,89.68332767486572,111.50344505785505,82.94681715965271,120.55917686090837
1b000000,1kds,False,2,25,8,189200,1000,100,17.407455682754517,57.44664919587848,14.145086288452148,70.69592787259178
1b000000,10kds,False,2,25,8,1773200,10000,100,88.31476855278015,113.23134469886124,81.91972017288208,122.07072947632338
1c000000,1kds,False,2,26,8,189728,1000,104,17.338862895965576,57.67390895239624,14.14269471168518,70.70788278939271
1c000000,10kds,False,2,26,8,1773728,10000,104,87.85139465332031,113.82858564126452,81.48914003372192,122.71573851266302
1d000000,1kds,False,2,27,8,190256,1000,108,17.58124041557312,56.87880811380177,14.31410312652588,69.86117056449531
1d000000,10kds,False,2,27,8,1774256,10000,108,87.35835456848145,114.4710205382916,80.81583142280579,123.7381317984938
1e000000,1kds,False,2,28,8,190784,1000,112,17.010926961898804,58.785744141974575,13.80266809463501,72.44976066538123
1e000000,10kds,False,2,28,8,1774784,10000,112,86.28497648239136,115.89503071882686,79.54871416091919,125.70913440248684
1f000000,1kds,False,2,29,8,191312,1000,116,17.224798440933228,58.05583173754808,14.02480149269104,71.30225697106268
1f000000,10kds,False,2,29,8,1775312,10000,116,86.43766832351685,115.6903025492571,79.99841594696045,125.00247513188356
20000000,1kds,False,2,30,8,191840,1000,120,17.13180136680603,58.37097796017904,13.860448122024536,72.14773946673337
20000000,10kds,False,2,30,8,1775840,10000,120,87.26404595375061,114.59473246633485,80.8245141506195,123.72483899333594
21000000,1kds,False,2,31,8,192368,1000,124,17.085692405700684,58.52850304541053,13.943710327148438,71.71692300958071
21000000,10kds,False,2,31,8,1776368,10000,124,85.92553377151489,116.37984148682813,79.54419875144958,125.71627041271522
22000000,1kds,False,2,32,8,192896,1000,128,17.18786072731018,58.18059710078273,13.887911319732666,72.00506807522223
22000000,10kds,False,2,32,8,1776896,10000,128,86.4403657913208,115.68669230462775,79.63314580917358,125.57585033703415
23000000,1kds,False,2,33,8,193424,1000,132,16.790064573287964,59.55903240485108,13.514687538146973,73.99357159959261
23000000,10kds,False,2,33,8,1777424,10000,132,86.40044689178467,115.74014209121924,79.81819701194763,125.28471419246848
24000000,1kds,False,2,34,8,193952,1000,136,17.028249502182007,58.72594243300579,13.690231561660768,73.04478346447266
24000000,10kds,False,2,34,8,1777952,10000,136,86.25149035453796,115.94002560297636,79.6077983379364,125.61583423711627
25000000,1kds,False,2,35,8,194480,1000,140,17.007614612579346,58.797193067884415,13.91930866241455,71.8426485289631
25000000,10kds,False,2,35,8,1778480,10000,140,85.30668234825134,117.22411099257788,78.58659243583679,127.24816905841352
26000000,1kds,False,2,36,8,195008,1000,144,16.942741870880127,59.022323991060894,13.763886213302612,72.65389908799982
26000000,10kds,False,2,36,8,1779008,10000,144,85.72241735458374,116.65559965062371,79.39769387245178,125.9482424774764
27000000,1kds,False,2,37,8,195536,1000,148,16.83177423477173,59.41144326509332,13.530665397644045,73.90619534307011
27000000,10kds,False,2,37,8,1779536,10000,148,85.07583379745483,117.54219210836771,78.47546362876892,127.42836470906842
28000000,1kds,False,2,38,8,196064,1000,152,17.382039308547974,57.53064886398166,13.986636877059937,71.4968157670656
28000000,10kds,False,2,38,8,1780064,10000,152,85.94776034355164,116.34974500822192,79.41645169258118,125.918494050952
29000000,1kds,False,2,39,8,196592,1000,156,16.888532161712646,59.21177698717135,13.760733366012571,72.6705454863245
29000000,10kds,False,2,39,8,1780592,10000,156,85.1803195476532,117.3980099288734,78.26323008537292,127.77392383487836
2a000000,1kds,False,2,40,8,197120,1000,160,16.828696727752686,59.42230798840598,13.727957487106323,72.84404842739552
2a000000,10kds,False,2,40,8,1781120,10000,160,83.71704816818237,119.44998323293264,77.02145314216614,129.8339565411991
2b000000,1kds,False,2,41,8,197648,1000,164,17.384012937545776,57.524117336579536,14.018923997879028,71.33215075217566
2b000000,10kds,False,2,41,8,1781648,10000,164,85.83130502700806,116.50760753146368,79.13642382621765,126.36406241909344
2c000000,1kds,False,2,42,8,198176,1000,168,17.165735721588135,58.25558637386981,13.83002758026123,72.3064357027921
2c000000,10kds,False,2,42,8,1782176,10000,168,84.47493481636047,118.37830975234176,78.03236413002014,128.15195478811412
2d000000,1kds,False,2,43,8,198704,1000,172,16.939234018325806,59.03454659863276,13.845879554748535,72.22365296808056
2d000000,10kds,False,2,43,8,1782704,10000,172,85.04794025421143,117.58074293286388,78.42585325241089,127.50897293798444
2e000000,1kds,False,2,44,8,199232,1000,176,17.27558422088623,57.88516250530024,13.925603866577148,71.81017136356296
2e000000,10kds,False,2,44,8,1783232,10000,176,85.85514521598816,116.47525579093394,78.55942416191101,127.2921754032972
2f000000,1kds,False,2,45,8,199760,1000,180,17.72358226776123,56.42200232957284,14.362234115600586,69.62705049584014
2f000000,10kds,False,2,45,8,1783760,10000,180,83.16263031959534,120.24631690423736,76.49881839752197,130.7209733362879
30000000,1kds,False,2,46,8,200288,1000,184,17.451781272888184,57.30074107412332,14.169360399246216,70.57481578725304
30000000,10kds,False,2,46,8,1784288,10000,184,84.8926911354065,117.79577094628426,78.431960105896,127.49904486000813
31000000,1kds,False,2,47,8,200816,1000,188,18.56734561920166,53.85799459486751,13.43875002861023,74.41168247575591
31000000,10kds,False,2,47,8,1784816,10000,188,87.80386805534363,113.89019893402536,80.64489436149597,124.00041043112228
32000000,1kds,False,2,48,8,201344,1000,192,17.491341590881348,57.17114349429456,14.254320859909058,70.15416657362798
32000000,10kds,False,2,48,8,1785344,10000,192,85.71008133888245,116.6723895694577,78.45101475715637,127.46807713010227
33000000,1kds,False,2,49,8,201872,1000,196,17.491564989089966,57.17041331771807,14.134562253952026,70.74856525679809
33000000,10kds,False,2,49,8,1785872,10000,196,84.23691177368164,118.71280403615565,77.63116097450256,128.8142528653466
34000000,1kds,False,2,50,8,202400,1000,200,17.513561010360718,57.09861058001953,13.971736192703249,71.57306623941633
34000000,10kds,False,2,50,8,1786400,10000,200,84.9518027305603,117.71380569423314,78.26941251754761,127.76383108481936
35000000,1kds,False,2,51,8,201608,1000,194,17.840341806411743,56.05273771383709,14.326900720596312,69.79876663501986
35000000,10kds,False,2,51,8,1786928,10000,204,84.45622181892395,118.40453887980244,77.77879524230957,128.56974666226597
36000000,1kds,False,2,52,8,200816,1000,188,17.90053153038025,55.86426293000461,14.496042251586914,68.98434639223873
36000000,10kds,False,2,52,8,1787456,10000,208,84.03435778617859,118.99894594832892,76.94114661216736,129.96946939725763
37000000,1kds,False,2,53,8,200024,1000,182,18.419532299041748,54.2901949824222,15.043047428131104,66.47589225371715
37000000,10kds,False,2,53,8,1787984,10000,212,87.9604594707489,113.6874461567073,80.96629762649536,123.50817924429344
38000000,1kds,False,2,54,8,199232,1000,176,17.95164442062378,55.70520318746667,14.486820220947266,69.02826049805233
38000000,10kds,False,2,54,8,1788512,10000,216,86.91624617576599,115.05328911441416,79.90949892997742,125.14156807268604
39000000,1kds,False,2,55,8,198440,1000,170,18.55962085723877,53.8804110111965,14.962924718856812,66.83185398505442
39000000,10kds,False,2,55,8,1789040,10000,220,84.809002161026,117.91201105058518,77.98482275009155,128.23007923023405
3a000000,1kds,False,2,56,8,197648,1000,164,18.25437617301941,54.78138450318747,14.885345697402954,67.18016634134806
3a000000,10kds,False,2,56,8,1789568,10000,224,85.5008692741394,116.95787522273298,78.3467652797699,127.63768822223632
3b000000,1kds,False,2,57,8,196856,1000,158,18.66013669967652,53.59017546840028,15.15192723274231,65.99820502299313
3b000000,10kds,False,2,57,8,1790096,10000,228,87.15057587623596,114.74393484446016,79.73306894302368,125.41847607980426
3c000000,1kds,False,2,58,8,196064,1000,152,18.940016746521,52.798263770473454,15.290788650512695,65.39885043577986
3c000000,10kds,False,2,58,8,1790624,10000,232,87.17140030860901,114.71652359142388,79.92872738838196,125.11146275867704
3d000000,1kds,False,2,59,8,195272,1000,146,19.79448962211609,50.51911007004267,14.642921924591064,68.29238079324985
3d000000,10kds,False,2,59,8,1791152,10000,236,88.73073101043701,112.7005253548936,81.50828766822815,122.6869105716472
3e000000,1kds,False,2,60,8,194480,1000,140,19.27925205230713,51.86923213031654,16.120452642440796,62.03299759507188
3e000000,10kds,False,2,60,8,1791680,10000,240,86.64248538017273,115.41681839021207,79.66218137741089,125.53007998392087
