Job ID,Dataset,Preserve order,Num cpus,Concurrency,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
2000000,1kds,False,3,1,8,176792,1000,6,90.91072034835815,10.9998028413825,85.97080183029175,11.631856150115036
2000000,10kds,False,3,1,8,1773068,10000,99,811.396228313446,12.32443490745061,807.1797289848328,12.388814586036146
3000000,1kds,False,3,2,8,177584,1000,12,53.761778831481934,18.60057501323632,50.66665482521057,19.73684671801981
3000000,10kds,False,3,2,8,1773068,10000,99,403.19181990623474,24.80209048468685,398.6373500823975,25.085456738895697
4000000,1kds,False,3,3,8,178376,1000,18,39.30373692512512,25.442873330468093,36.30115294456482,27.547334420124105
4000000,10kds,False,3,3,8,1773068,10000,99,288.39765977859497,34.674345165203746,283.7883710861206,35.23752563125753
5000000,1kds,False,3,4,8,179168,1000,24,32.91303992271423,30.383094431513488,29.93742179870605,33.40301000947321
5000000,10kds,False,3,4,8,1773068,10000,99,211.56590604782104,47.26659501431985,207.0843720436096,48.28949621506983
6000000,1kds,False,3,5,8,179960,1000,30,28.333463430404663,35.293955589167375,25.326371431350708,39.48453503142309
6000000,10kds,False,3,5,8,1773068,10000,99,173.80380392074585,57.53614002924802,169.15300035476685,59.11807641027275
7000000,1kds,False,3,6,8,180752,1000,36,27.295812368392944,36.63565628689422,24.231231451034542,41.26905403139572
7000000,10kds,False,3,6,8,1773068,10000,99,150.47608184814453,66.45574417661717,145.97404313087463,68.5053300266157
8000000,1kds,False,3,7,8,181544,1000,42,23.02915644645691,43.42321449441768,19.88055944442749,50.30039535835595
8000000,10kds,False,3,7,8,1773068,10000,99,135.6390311717987,73.72509161713286,131.25405836105347,76.18812038932933
9000000,1kds,False,3,8,8,182336,1000,48,22.03188157081604,45.38876976011999,19.034059762954712,52.537399401585525
9000000,10kds,False,3,8,8,1773068,10000,99,116.67521858215332,85.7080031348628,112.2785530090332,89.0642044451309
0a000000,1kds,False,3,9,8,183128,1000,54,21.37867498397827,46.77558364816462,18.23331594467163,54.84465925092647
0a000000,10kds,False,3,9,8,1773068,10000,99,111.1050627231598,90.00489946094514,106.66236567497252,93.75378032091052
0b000000,1kds,False,3,10,8,183920,1000,60,20.112717628479004,49.71978518626593,16.868912935256958,59.28064267318286
